中药名	笔仔草
别名	眉毛草
别名	墙头竹
别名	黄毛草
别名	笔毛草
别名	金丝茅
别名	金黄草
别名	竹叶草
别名	猫毛草
别名	猴毛草
别名	胡毛草
别名	猫仔草
别名	牛尾草
别名	牛毛草
别名	竹篙草
功能	利水
主治	淋蚀
主治	黄疸型肝炎
主治	热病烦渴
中药名	百里香叶杜鹃
分布	青海
功能	祛痰
主治	慢性气管炎
中药名	百部还魂
别名	裸蕊
别名	狗笠耳
别名	水折耳
别名	白折耳根
别名	摘耳荷
别名	还魂草
功能	消食
主治	疮肠肿毒
主治	食积腹胀
中药名	百解马兜铃
别名	白金果榄
别名	百解薯
别名	山总管
功能	祛风利尿
主治	过敏性皮炎
主治	脚气湿肿
主治	肠炎
主治	腮腺炎
中药名	百解藤
别名	独脚乌柏
别名	山豆根
别名	寄山龙
别名	青藤仔
别名	金锁匙
别名	金线风
别名	蛤仔藤
功能	祛风止痛
主治	风火牙痛
主治	尿路感染及尿路结石
中药名	百脉根
别名	柏脉根
别名	鸟距草
别名	黄花草
别名	斑鸠窝
别名	黄金花
别名	都草
别名	地羊鹊
别名	牛角花
别名	小花生藤
别名	五叶草
别名	黄瓜草
功能	补虚
功能	补不足
功能	除虚劳
功能	去热
主治	口渴
主治	风热咳嗽
主治	咽炎
主治	胃中痞满疼痛
主治	阴虚发热
主治	虚劳
中药名	百合花
功能	安神
功能	宁心安神
功能	润肺
功能	清火
功能	清热润肺
主治	夜寐不安
主治	眩晕
主治	天疱湿疮
主治	咳嗽痰少或粘
中药名	百合子
功能	清热凉血
主治	研末
主治	肠风下血
主治	汤服
主治	百合子酒炒微赤
中药名	百合
别名	野百合
别名	蒜脑薯
别名	强瞿
别名	喇叭筒
别名	中庭
别名	百合蒜
别名	山百合
别名	重迈
别名	重箱
别名	药百合
别名	白百合
别名	家百合
别名	摩罗
功能	清心安神
功能	养阴润肺
主治	失眠多梦
主治	虚烦惊悸
主治	余热未清
主治	阴虚久咳
主治	或情志不遂所致的虚烦惊悸
主治	热病后期
主治	精神恍惚
主治	阴虚久嗽
中药名	百两金叶
功能	通淋
功能	涂诸疮
中药名	百两金
别名	珍珠伞
别名	竹叶胎
别名	开喉剑
别名	真珠凉伞
别名	叶下藏珠
别名	铁雨伞
别名	地杨梅
别名	蛇连天
别名	白八爪
别名	高脚凉伞
