方剂	方剂
功能主治	酒伤筋骨
功能主治	疲软
功能主治	肌肉瘦弱
功能主治	困倦不安
方名	补血化痢汤
处方	补血化痢汤
中药名	全当归
中药名	炮姜炭
功能主治	产后痢疾
方名	补血养阴丸
处方	补血养阴丸
中药名	杞子
中药名	川断
功能主治	女痨
方名	补血养真汤
处方	补血养真汤
功能主治	小产气虚
功能主治	下血不止
来源	宋氏女科
方名	补血丸
处方	补血丸_1
中药名	山萸
中药名	生枣仁
中药名	白芥子
功能主治	血分之劳
功能主治	左手脉大
处方	补血丸_2
中药名	生干姜
中药名	杜牛膝
功能主治	肾水不足之阴虚
功能主治	痨瘵
来源	傅青主男科
方名	补虚黄耆汤
处方	补虚黄耆汤
功能主治	诸虚不足
功能主治	少腹急病
功能主治	脐下虚满
功能主治	胸中烦悸
功能主治	唇口干燥
功能主治	少力身重
功能主治	胸满短气
功能主治	腰背强痛
功能主治	骨肉酸疼
功能主治	行动喘乏
功能主治	或因劳伤过度
功能主治	或因病后不复
方名	补虚降火汤
处方	补虚降火汤
中药名	桑叶
功能主治	产后阳明感风而大喘大汗者
来源	叶氏女科
方名	补虚沉香丸
处方	补虚沉香丸
功能主治	下经虚寒
功能主治	小便滑数
功能主治	腹胁胀满
别名	沉香丸
方名	补虚汤
处方	补虚汤_1
功能主治	产后虚羸寒热
功能主治	脉软弦涩
处方	补虚汤_2
功能主治	大补气血
功能主治	主产后一切杂病
处方	补虚汤_3
功能主治	肝肾虚目暗
功能主治	兼治耳聋
处方	补虚汤_4
中药名	竹沥
剂量	半盏
中药名	姜汁
功能主治	舌强
功能主治	喉音如故
功能主治	但舌本不能转运言语
功能主治	由于体虚有痰者
处方	补虚汤_5
功能主治	产后虚羸
功能主治	寒热往来
处方	补虚汤_6
功能主治	蓐劳
处方	补虚汤_7
功能主治	肺虚寒
功能主治	咳嗽下利
来源	济阴纲目
方名	补虚正气粥饮
处方	补虚正气粥饮
中药名	米
功能主治	诸痢疾
功能主治	水泄霍乱
功能主治	并泄血后
功能主治	困顿不识人
方名	补虚款冬花汤
处方	补虚款冬花汤
剂量	4克
功能主治	主肺劳痰嗽
别名	补肺款冬花汤
方名	补虚杜仲丸
处方	补虚杜仲丸
功能主治	肾虚劳损
功能主治	腰疼少力
方名	补虚散
处方	补虚散
中药名	红芍药
中药名	青橘
中药名	荷叶
功能主治	妇人妊娠伤寒
功能主治	胎损
功能主治	下死胎后
功能主治	败血冲心闷绝
功能主治	上气不停
方名	补虚损大泽兰丸
处方	补虚损大泽兰丸
中药名	泽兰
中药名	白芜荑
功能主治	妇人诸虚损不足
功能主治	羸瘦萎黄
功能主治	月候淋漓
功能主治	或时带下
功能主治	头晕心烦
功能主治	肢节少力
方名	补虚定志丸
处方	补虚定志丸
功能主治	或用心力劳倦
功能主治	四肢烦弱心虚惊悸
功能主治	翕翕短气
方名	补虚宁血汤
处方	补虚宁血汤
中药名	炒黑荆芥
功能主治	妇人一时血崩
功能主治	双目黑暗
功能主治	昏晕于地
方名	补虚固精丸
处方	补虚固精丸
中药名	莲子心
中药名	矾蝴蝶
功能主治	补虚固精
方名	补虚固本汤
处方	补虚固本汤
中药名	焦白术
中药名	紫蔻仁
中药名	雕爪
功能主治	痿症
来源	医学探骊集
方名	补虚四物汤
处方	补虚四物汤
剂量	5-7钱
剂量	2-3钱
功能主治	瘦人血虚
功能主治	经水渐少
功能主治	脉弱无神
方名	补虚和气散
处方	补虚和气散
中药名	麝
功能主治	补虚和气
功能主治	主小儿胃气不和
方名	补虚利腰汤
处方	补虚利腰汤
功能主治	动则腰痛
功能主治	自觉其中空虚无着者
方名	补虚人参丸
处方	补虚人参丸_1
中药名	草决明
功能主治	逆顺生翳外障
处方	补虚人参丸_2
功能主治	劳伤心经
功能主治	致心虚气弱
功能主治	血运不行
功能主治	积在小眦之间
功能主治	赤脉传睛者
来源	银海精微
方名	补药麝脐丸
处方	补药麝脐丸
中药名	麝脐
中药名	活鳖
功能主治	劳伤骨蒸
功能主治	久而瘦弱
功能主治	肉消毛落
功能主治	妄血喘咳者
来源	中藏经
方名	补药酒
处方	补药酒
中药名	鹿筋
中药名	蕲蛇
剂量	2条
中药名	虎骨胶
中药名	鹿胶
中药名	饭党
中药名	五加皮5钱
剂量	五加5钱
中药名	松节
中药名	饭耆
中药名	核桃肉
功能主治	跌打刀伤各症
功能主治	身体虚弱及年老弱者
方名	补药茯苓散
处方	补药茯苓散
中药名	天麻苗
中药名	枸杞根
中药名	蓬莪荗
中药名	景天
中药名	青葙子
中药名	海桐皮
功能主治	大风疾
方名	补药地骨皮散
处方	补药地骨皮散
中药名	白蒺藜
中药名	苍耳
中药名	原蚕沙
中药名	小荆子
中药名	蔓荆实
功能主治	大风癞病
方名	补药五加皮丸
处方	补药五加皮丸
剂量	五加3分
中药名	恶实
功能主治	皮肤不仁
功能主治	发歇不定
方名	补荣汤
处方	补荣汤_1
功能主治	五脏俱虚
功能主治	思虑过度
功能主治	伤精损血
功能主治	睡卧不宁
处方	补荣汤_2
中药名	人参减半
功能主治	衄血
功能主治	咯
功能主治	唾血
来源	玉案
方名	补脾黄耆丸
处方	补脾黄耆丸
中药名	益智子
中药名	白豆蔻
功能主治	脾虚
功能主治	肌肉消瘦
功能主治	面色黄萎
功能主治	水谷不化
功能主治	或时自利
别名	黄耆丸
方名	补脾诃黎勒散
处方	补脾诃黎勒散
功能主治	脾气虚
功能主治	大肠下泄
功能主治	腹痛
方名	补脾解毒饮
处方	补脾解毒饮
中药名	苡仁
中药名	扁豆
功能主治	痘后元气虚弱
功能主治	而有余毒
功能主治	周身作肿
功能主治	或兼腹胀而喘者
方名	补脾藿香散
处方	补脾藿香散
中药名	红豆蔻
剂量	3铢
功能主治	脾受水气
功能主治	吃转药后便服此药以补之
方名	补脾胃泻阴火升阳汤
处方	补脾胃泻阴火升阳汤
中药名	石膏少许
功能主治	饮食损胃
功能主治	劳倦伤脾
功能主治	火邪乘之而生大热
来源	脾胃论
别名	升阳泄火汤
别名	泻阴火升阳汤
别名	升阳降火汤
方名	补脾胃汤
处方	补脾胃汤
中药名	草蔻
功能主治	补脾胃
方名	补脾肉豆蔻丸
处方	补脾肉豆蔻丸
中药名	椒红
功能主治	食即欲呕
功能主治	水谷不消
功能主治	或时下痢
别名	大肉豆蔻丸
方名	补脾神曲丸
处方	补脾神曲丸
别名	补脾丸
方名	补脾益肾汤
处方	补脾益肾汤
中药名	墨旱莲
中药名	茜草
中药名	小蓟草
中药名	炒白术
中药名	威喜丸
中药名	炒知母
中药名	炒黄柏
功能主治	补脾益肾
功能主治	清热化湿
来源	张伯臾医案
方名	补脾益气汤
处方	补脾益气汤
中药名	怀耆
中药名	六曲
功能主治	伤酒吐血
功能主治	发晕
功能主治	面色黄浮
方名	补脾白豆蔻散
处方	补脾白豆蔻散
功能主治	食饮难消
功能主治	腹胁气胀
方名	补脾白术散
处方	补脾白术散
功能主治	下焦冷
功能主治	胸中满闷
功能主治	胁下痛
别名	补脾白术汤
方名	补脾汤
处方	补脾汤_1
中药名	潞参
中药名	云苓
中药名	蔻米
中药名	炙耆
功能主治	主小儿久病
功能主治	面黄肌瘦
功能主治	头发稀少
处方	补脾汤_2
中药名	羊藿
功能主治	酒疯发狂
处方	补脾汤_3
中药名	草果
功能主治	脾虚寒病
功能主治	泄泻腹满
功能主治	气逆呕吐
功能主治	心烦不得卧
功能主治	肠鸣虚胀
功能主治	劳倦虚羸
功能主治	喜噫
功能主治	四肢逆冷
功能主治	多卧不起
功能主治	情意不乐
处方	补脾汤_4
中药名	焦术
功能主治	噎膈
处方	补脾汤_5
中药名	桂少许
功能主治	痘症胃弱
功能主治	手足起不透者
处方	补脾汤_6
功能主治	脾气不足
功能主治	腹胀食欲呕
功能主治	口舌干涩
功能主治	喜怒不常
功能主治	不欲见人
功能主治	心烦多忘
功能主治	咽喉闭塞
功能主治	面黄
处方	补脾汤_7
功能主治	食则欲呕
处方	补脾汤_8
剂量	3合
功能主治	留腹中
功能主治	或上或下
功能主治	烦闷
功能主治	得食辄呕欲吐
功能主治	已即胀满不消
功能主治	噫腥臭
功能主治	四肢肿而苦下身重
功能主治	不能自胜
处方	补脾汤_9
中药名	甘葛
功能主治	酒后伤脾
功能主治	小便浊红浊白
功能主治	阴囊作痒作痛
功能主治	面黄气短
来源	揣摩有得集
来源	三因
别名	补脾快斑汤
方名	补脾散
处方	补脾散_1
功能主治	主脾阳不足
功能主治	食积不消
功能主治	大肠滑泄
功能主治	腹痛肠鸣
处方	补脾散_2
功能主治	小儿心脾亏损
功能主治	弄舌
处方	补脾散_3
中药名	制厚朴
中药名	净陈皮
中药名	良姜
功能主治	饮啖生冷果菜
功能主治	寒留中焦
功能主治	心脾冷痛
功能主治	霍乱吐利
处方	补脾散_4
功能主治	一切咳嗽
处方	补脾散_5
功能主治	妇人血亏经闭
处方	补脾散_6
中药名	藿香叶
功能主治	脾胃虚冷
功能主治	心胸满闷
功能主治	多倦乏力
功能主治	肌肤羸瘦
处方	补脾散_7
中药名	洋参
中药名	淮山药
中药名	于术
中药名	莲子
功能主治	脾虚不欲食饭
处方	补脾散_8
功能主治	脾泄不止
功能主治	症瘕块结
功能主治	脏毒下利
处方	补脾散_9
功能主治	脾脏冷气
功能主治	腹内虚鸣泄泻
功能主治	食气结块
来源	内外科百病验方大全
来源	永类钤方
来源	寿世保元
来源	三因极一病证方论
来源	一盘珠
别名	补脾汤
方名	补脾和肝饮
处方	补脾和肝饮
中药名	炒白芍
中药名	云茯苓
中药名	甜白术
功能主治	痢疾后肝燥脾虚
功能主治	食物难克
功能主治	溏泻不实
方名	补脾化食汤
处方	补脾化食汤
中药名	广香
功能主治	一切饮食停滞
功能主治	胸腹胀满
功能主治	气口脉独沉大者
方名	补脾助元散
处方	补脾助元散
功能主治	大补元气
功能主治	令人能食
方名	补脾养血汤
处方	补脾养血汤
中药名	牛子
功能主治	脾虚血热
功能主治	疥癣疼痒
功能主治	通身红点如虫啮咬
功能主治	或麻木肿胀
方名	补脾人参散
处方	补脾人参散
功能主治	脾虚身重如石
功能主治	四肢不举
功能主治	腹胀肠鸣
功能主治	神思昏闷
别名	补脾人参汤
方名	补脾丹
处方	补脾丹
中药名	干山药
功能主治	噤口痢
方名	补脾丸
处方	补脾丸_1
中药名	川厚朴
中药名	川白姜
功能主治	温脾祛寒
功能主治	涩肠止泻
功能主治	主脾阳虚弱
功能主治	滑泄不禁
处方	补脾丸_2
剂量	21克
功能主治	温中理气
功能主治	健脾止泻
功能主治	主肠胃虚寒
功能主治	日夜无度
处方	补脾丸_3
中药名	炙粉草
剂量	2钱5分
功能主治	小儿脾虚
处方	补脾丸_4
功能主治	脾虚泄泻
处方	补脾丸_5
剂量	2两5钱
中药名	肉果
功能主治	五更久泄不愈
处方	补脾丸_6
功能主治	伤食
处方	补脾丸_7
功能主治	脾滑
功能主治	胃虚弱
处方	补脾丸_8
中药名	芜荑仁
功能主治	小儿冷痢
功能主治	或下青白
功能主治	或下瘀黑
功能主治	或如凝脂
处方	补脾丸_9
功能主治	中焦不和
功能主治	心腹冷痛
功能主治	泄利不时
功能主治	呕吐痰逆
功能主治	面色痿黄
功能主治	怠惰嗜卧
功能主治	噎塞不通
处方	补脾丸_10
中药名	石脂
功能主治	久痢不止
功能主治	体重羸瘦
功能主治	腹中胀急
功能主治	遇寒则极
功能主治	脉弦而迟
功能主治	此脾胃素弱
功能主治	为风冷则谷不化而水胜
功能主治	久久不止
功能主治	成虚劳
处方	补脾丸_11
功能主治	滑泄
来源	幼科发挥
别名	缩脾丸
方名	补脬汤
处方	补脬汤
功能主治	膀胱虚冷
功能主治	脚筋急
功能主治	腹痛引腰背
功能主治	不可屈伸
功能主治	耳聋
功能主治	坐欲倒
功能主治	小便数
功能主治	遗白
功能主治	面黑如炭
方名	补脑散
处方	补脑散
中药名	辛夷仁
中药名	苍耳茸
功能主治	鼻渊
功能主治	阳虚脑寒者
方名	补脑振痿汤
处方	补脑振痿汤_1
中药名	生箭耆
剂量	24克
中药名	杭萸肉
中药名	生乳香
中药名	生没药
剂量	18克
中药名	制马钱子末
剂量	0.9克
功能主治	主肢体痿废偏枯
功能主治	脉象极微细无力
功能主治	服药久不愈者
处方	补脑振痿汤_2
功能主治	肢体痿废偏枯
来源	医学衷中参西录
方名	补胯丸
处方	补胯丸
中药名	潞党
中药名	小茴香
功能主治	胯久痛属虚者
来源	春脚集
方名	补胞饮
处方	补胞饮
中药名	天然黄丝
功能主治	产妇尿胞损破
功能主治	致作淋沥
来源	产孕集·补遗
方名	补胞散
处方	补胞散
中药名	象皮
功能主治	尿胞损伤
功能主治	淋漓不止
方名	补胎饮
处方	补胎饮
功能主治	子鸣
方名	补胆防风汤
处方	补胆防风汤
功能主治	胆虚风袭
功能主治	惊悸不眠
方名	补胆汤
处方	补胆汤
中药名	充蔚子
功能主治	瞳人干缺外障
方名	补胆散
处方	补胆散
中药名	蒺藜
功能主治	胆虚
功能主治	黑白内外障翳
方名	补胆丸
处方	补胆丸
功能主治	蟹睛疼痛
功能主治	外障
来源	眼科龙木论
方名	补胃黄耆散
处方	补胃黄耆散
功能主治	胃虚冷
功能主治	淅淅恶寒
功能主治	目中急痛
功能主治	耳鸣胫寒
功能主治	不得卧
功能主治	心腹多冷气
功能主治	身体无泽
方名	补胃饮
处方	补胃饮
剂量	5合
功能主治	胃气虚热
功能主治	兼渴引饮
方名	补胃膏
处方	补胃膏
功能主治	小儿有虫
功能主治	心腹痛甚
方名	补胃瑶台雪方
处方	补胃瑶台雪方
中药名	土白术
功能主治	开胃
来源	遵生八笺
方名	补肾黄耆汤
处方	补肾黄耆汤
功能主治	肾虚耳数鸣而聋
方名	补肾茯苓丸
处方	补肾茯苓丸_1
功能主治	男子内虚
功能主治	不能食饮
功能主治	忽忽喜忘
功能主治	悲忧不乐
功能主治	喜怒无常
功能主治	或身体浮肿
功能主治	精泄淋沥
功能主治	痛绞膀胱
功能主治	胫疼冷痹
功能主治	伸不得行
功能主治	渴欲饮水
处方	补肾茯苓丸_2
中药名	山茱萸肉
功能主治	肾虚冷
功能主治	五脏内伤
功能主治	头重足浮
功能主治	皮肤燥痒
功能主治	腰脊疼痛
功能主治	心胃咳逆
功能主治	口干舌燥
功能主治	痰涎流溢
功能主治	恶梦遗精
功能主治	尿血滴沥
功能主治	小便偏急
功能主治	阴囊湿痒
功能主治	喘逆上壅
功能主治	转侧不得
功能主治	心常惊悸
功能主治	目视茫茫
处方	补肾茯苓丸_3
功能主治	男子肾虚冷
功能主治	风冷所苦
功能主治	令人身体湿痒
功能主治	足行失顾
功能主治	不自觉省
功能主治	或食饮失味
功能主治	身偏拘急
功能主治	腰脊痛强
功能主治	胸心懊闷
功能主治	咳逆上气
功能主治	转侧须人
功能主治	起则扶舁
功能主治	针灸服药
功能主治	疗之小折
功能主治	或乘马触风
功能主治	或因房室不自将护
功能主治	饮食不量
功能主治	用力过度
功能主治	或口干舌燥
功能主治	或流涎出口
功能主治	或梦寤精便自出
功能主治	或尿血
功能主治	尿有淋沥
功能主治	阴下痒湿
功能主治	心惊动悸
功能主治	少腹偏急
功能主治	四肢酸疼
功能主治	气息嘘吸
功能主治	身体浮肿
功能主治	气逆胸胁
方名	补肾腽肭脐丸
处方	补肾腽肭脐丸
中药名	楮实
功能主治	肾脏气衰
功能主治	面色黧黑
功能主治	脚膝无力
方名	补肾肉苁蓉丸
处方	补肾肉苁蓉丸
中药名	石南
功能主治	肾脏久虚
功能主治	面色萎黑
功能主治	足冷耳鸣
功能主治	脚膝缓弱
方名	补肾羮
处方	补肾羮
中药名	羊肾1双
功能主治	精气竭绝
方名	补肾续断丸
处方	补肾续断丸
功能主治	眼视物不明
功能主治	茫茫昏暗
方名	补肾种子方
处方	补肾种子方_1
中药名	炙龟板
功能主治	补益肾气
功能主治	主阴阳两虚
处方	补肾种子方_2
剂量	18-30g
中药名	首乌
中药名	淫羊藿
功能主治	补肾
功能主治	益气
功能主治	补血
功能主治	主子宫发育不良
功能主治	月经不调或不排卵
功能主治	不生育者
来源	妇产科学
来源	古今名方
方名	补肾祛毒散
处方	补肾祛毒散
中药名	豨莶
中药名	草乌头
功能主治	肾俞生痈
方名	补肾磁石汤
处方	补肾磁石汤
中药名	牡荆子
功能主治	劳聋
功能主治	耳中溃溃然
方名	补肾磁石丸
处方	补肾磁石丸_1
功能主治	主肾精气虚
功能主治	眼目昏暗
功能主治	远视不明
功能主治	时见黑花
功能主治	渐成内障
功能主治	现用于假性近视
功能主治	或屈光不正
处方	补肾磁石丸_2
中药名	牡蛎粉
中药名	楮实子
功能主治	劳聋肾虚
功能主治	或耳中常闻钟盘风雨之声
处方	补肾磁石丸_3
中药名	北五味
中药名	建石斛
功能主治	肾气不足
功能主治	瞳神昏暗
来源	惠直堂方
方名	补肾石斛丸
处方	补肾石斛丸_1
中药名	马蔺子
功能主治	肾气内夺
功能主治	厥逆瘖俳
处方	补肾石斛丸_2
功能主治	劳聋久
功能主治	耳中溃溃
方名	补肾益键汤
处方	补肾益键汤
功能主治	产后肾阳不足
功能主治	不能关键
功能主治	小便失常
方名	补肾生血汤
处方	补肾生血汤
剂量	10克
中药名	龟板胶
中药名	制首乌
中药名	黑磁石
功能主治	补肾填精
功能主治	益气生血
功能主治	主脾肾亏损
功能主治	气血两虚
来源	苟祯学方
方名	补肾生肝饮
处方	补肾生肝饮
功能主治	肝肾精亏
功能主治	经脉失荣
功能主治	血不运行
功能主治	气不贯通
功能主治	不仁不用
来源	杂症会心录
方名	补肾熟干地黄散
处方	补肾熟干地黄散
功能主治	肾虚少气
功能主治	腹胀腰疼
功能主治	百节酸疼
功能主治	日渐无力
方名	补肾活血汤
处方	补肾活血汤
中药名	萸肉
中药名	淡苁蓉
功能主治	主肾受外伤
功能主治	两耳立聋
功能主治	额黑
功能主治	面浮白光
功能主治	常如哭状
功能主治	肿如弓形
来源	伤科大成
方名	补肾止带汤
处方	补肾止带汤
中药名	鹿角霜
中药名	乌贼骨
功能主治	温肾健脾
功能主治	固涩止带
功能主治	主肾虚白带
来源	中医症状鉴别诊断学
方名	补肾暖肝汤
处方	补肾暖肝汤
中药名	西茴
功能主治	温补肝肾
功能主治	主肝气不和
功能主治	肾经虚极而肾气不纳
功能主治	气直上冲
功能主治	腹痛难忍
功能主治	病人面色发红
功能主治	舌苔发白不燥
功能主治	虚火上炎者
方名	补肾明目丸
处方	补肾明目丸_1
中药名	茺蔚子
中药名	密蒙花
功能主治	诸内障
功能主治	欲变五风
功能主治	变化视物不明
处方	补肾明目丸_2
中药名	干菊花
中药名	羊子肝
功能主治	肝肾血虚
功能主治	视物不明
功能主治	及诸眼疾服凉药愈后少神光
方名	补肾方
处方	补肾方
剂量	24枚
功能主治	消疽痔
功能主治	主肾气不足
功能主治	心中悒悒而乱
功能主治	心悬少气
功能主治	阳气不足
功能主治	目前如星火
功能主治	一身悉痒
功能主治	骨中痛
功能主治	少腹拘急
功能主治	乏气咽干
功能主治	唾如胶
功能主治	颜色黑
别名	磁石散
方名	补肾散
处方	补肾散_1
处方	补肾散_2
功能主治	肾气虚弱
功能主治	有所不荣
功能主治	腰痛连小腹
功能主治	不得仰俯
功能主治	惙惙短气
方名	补肾巴戟丸
处方	补肾巴戟丸
中药名	石韦
中药名	石长生
功能主治	肾脏气虚
功能主治	胸中短气
功能主治	胸胁腰脚疼痛
功能主治	志意不乐
功能主治	视听不明
功能主治	体重无力
方名	补肾壮阳汤
处方	补肾壮阳汤
中药名	生麻黄
中药名	丝瓜络
功能主治	温通经络
功能主治	主腰部损伤的中后期
来源	中医伤科学
方名	补肾壮阳丹
处方	补肾壮阳丹
中药名	莲须
中药名	金樱子膏
中药名	菟丝饼
中药名	芡实米
中药名	五花龙骨
功能主治	添挖补髓
功能主治	保固其精不泄
功能主治	善助元阳
功能主治	滋润皮肤
功能主治	理腰膝
功能主治	主阳萎
来源	良朋汇集
方名	补肾壮筋汤
处方	补肾壮筋汤
功能主治	主肾经虚损
功能主治	下颏关节经常脱位
来源	伤科补要
方名	补肾地黄酒
处方	补肾地黄酒
中药名	生牛蒡根
功能主治	润皮毛
功能主治	益气力
功能主治	补虚止毒
功能主治	除面皯
功能主治	主老人风湿久痹
功能主治	筋挛骨痛
来源	养老奉亲
方名	补肾地黄丸
处方	补肾地黄丸_1
中药名	牡丹根皮
功能主治	主禀赋不足
功能主治	骨髓枯竭
功能主治	囟大
功能主治	头缝不合
功能主治	语迟
功能主治	行迟
功能主治	齿迟者
处方	补肾地黄丸_2
中药名	鼠苓
中药名	拣参
中药名	生芩
功能主治	降心火
功能主治	益肾水
功能主治	除骨蒸
功能主治	明眼目
处方	补肾地黄丸_3
中药名	茱萸
中药名	甘枸杞
功能主治	男子服之壮阳益精补肾
功能主治	女子服之则月事以时下
功能主治	能令有子
功能主治	小儿服之能治胎禀怯弱之病
处方	补肾地黄丸_4
中药名	怀山药
中药名	嫩鹿茸
中药名	淮牛膝
中药名	粉丹皮
中药名	白云苓
中药名	宣泽泻
功能主治	小儿先天不足
功能主治	肝肾虚喘
来源	幼幼集成
来源	丹溪心法附余
方名	补肾固胎散
处方	补肾固胎散
中药名	阿胶块
中药名	椿根白皮
功能主治	补肾安胎
功能主治	主习惯性流产属于肾虚者
来源	刘奉五妇科经验
方名	补肾固精方
处方	补肾固精方
功能主治	补肾固精
来源	广笔记
方名	补肾固冲丸
处方	补肾固冲丸
剂量	250g
剂量	90g
剂量	150g
剂量	120g
中药名	当归头
剂量	60g
功能主治	补肾固冲
功能主治	补气健脾
功能主治	养血安胎
功能主治	主先兆流产和习惯性流产有先兆症状者
方名	补肾养阴汤
处方	补肾养阴汤
功能主治	右耳鸣聋
功能主治	属肾不足
来源	简明医彀
方名	补肾养血汤
处方	补肾养血汤_1
中药名	仙灵脾
功能主治	温补肾阳
功能主治	调理冲任
功能主治	主肾气亏损经闭
处方	补肾养血汤_2
中药名	盐枸杞
中药名	制巴戟
中药名	制续断
中药名	酒白芍
中药名	炒枳壳
中药名	云茯芩
中药名	北黄耆
功能主治	补肝肾
功能主治	养气血
功能主治	主肝硬化腹水恢复期
来源	肝硬化腹水证治
方名	补肾健脾益气方
处方	补肾健脾益气方_1
功能主治	健脾益气
功能主治	补肾强腰
功能主治	主肾阳不足
处方	补肾健脾益气方_2
中药名	怀生地
功能主治	补肾种子
功能主治	主久患腰痛
来源	先醒斋医学广笔记
方名	补肺黄耆散
处方	补肺黄耆散
功能主治	肺脏气虚无力
功能主治	手脚颤掉
方名	补肺饮
处方	补肺饮
中药名	兜铃
功能主治	肺虚久嗽无痰
来源	幼科金针
方名	补肺阿胶散
处方	补肺阿胶散_1
剂量	15～30克
功能主治	主肺脏气虚
功能主治	咳嗽声微
处方	补肺阿胶散_2
功能主治	肺脏气虚
方名	补肺钟乳丸
处方	补肺钟乳丸
功能主治	肺虚咳嗽
别名	钟乳丹
方名	补肺膏
处方	补肺膏
中药名	鳖甲全个
中药名	赤苓
中药名	郁金
中药名	胆星
功能主治	主肺虚
功能主治	或痰或血或痿
功能主治	虚劳通用
来源	理瀹
方名	补肺益脾饮
处方	补肺益脾饮
功能主治	虚火鼻衄
来源	医门补要
方名	补肺百花煎
处方	补肺百花煎
剂量	半升
中药名	黄牛乳
剂量	1升半
中药名	藕汁
中药名	干柿
剂量	21枚
中药名	清酒
中药名	秦艽末
